defense,param_value,trial,rmse,success
noise,1,0,1.025827005273325,1.0
noise,1,1,0.9817538637147613,0.99
noise,1,2,1.028762978463659,1.0
noise,1,3,1.1001048723576772,1.0
noise,1,4,0.9642644192122124,1.0
noise,1,5,0.9515810160598607,0.99
noise,1,6,0.9194843452900672,1.0
noise,1,7,1.0348523975056647,1.0
noise,1,8,0.9811836487283783,1.0
noise,1,9,1.0587898762252448,0.99
noise,2,0,2.091288677709205,0.91
noise,2,1,1.9285184338597336,0.91
noise,2,2,2.004669468647517,0.89
noise,2,3,2.1761887067220784,0.91
noise,2,4,2.1617141076940958,0.89
noise,2,5,2.0265817435085096,0.91
noise,2,6,1.9660475400106572,0.94
noise,2,7,2.2130637971113156,0.91
noise,2,8,2.171633731969617,0.9
noise,2,9,2.0435353678682664,0.87
noise,3,0,3.2354589441474038,0.82
noise,3,1,2.831457406639431,0.86
noise,3,2,3.1876819601369726,0.81
noise,3,3,2.9319516714493106,0.88
noise,3,4,3.0995619846938123,0.84
noise,3,5,3.006060600729623,0.8
noise,3,6,3.00619888915116,0.8
noise,3,7,3.0354845816032023,0.75
noise,3,8,3.000207002095282,0.78
noise,3,9,2.975521309079464,0.82
noise,4,0,4.308790069851681,0.71
noise,4,1,4.214395697633405,0.82
noise,4,2,4.131310333387418,0.65
noise,4,3,3.5678079568861896,0.82
noise,4,4,4.231492934262481,0.75
noise,4,5,3.991337560588184,0.76
noise,4,6,3.957761283823593,0.76
noise,4,7,3.413379427544587,0.7
noise,4,8,3.996854799798042,0.76
noise,4,9,3.9881218070220554,0.81
noise,5,0,4.53177157472902,0.66
noise,5,1,4.784476289186829,0.68
noise,5,2,4.967196186954116,0.72
noise,5,3,5.095221175845462,0.69
noise,5,4,5.523615885075607,0.67
noise,5,5,5.174308864464106,0.73
noise,5,6,5.380951611582802,0.68
noise,5,7,4.637184551960955,0.67
noise,5,8,4.884739927512947,0.7
noise,5,9,5.0425379054271,0.75
noise,6,0,5.472224346267564,0.7
noise,6,1,6.049742907521766,0.71
noise,6,2,6.234282851559284,0.64
noise,6,3,5.730283360108589,0.72
noise,6,4,6.006041259030749,0.72
noise,6,5,5.906369226745073,0.7
noise,6,6,6.110268419786374,0.66
noise,6,7,5.636759286782135,0.64
noise,6,8,5.7013116912867945,0.78
noise,6,9,5.890987892992296,0.58
noise,7,0,6.533049368096059,0.69
noise,7,1,6.850112987629549,0.7
noise,7,2,7.36335227632568,0.63
noise,7,3,6.399263414325828,0.71
