defense,param_value,trial,rmse,success
round,1,0,0.0,1.0
round,1,1,0.0,1.0
round,1,2,0.0,1.0
round,1,3,0.0,1.0
round,1,4,0.0,1.0
round,1,5,0.0,1.0
round,1,6,0.0,1.0
round,1,7,0.0,1.0
round,1,8,0.0,1.0
round,1,9,0.0,1.0
round,2,0,0.714142842854285,1.0
round,2,1,0.714142842854285,1.0
round,2,2,0.7176350047203662,1.0
round,2,3,0.7176350047203662,1.0
round,2,4,0.6670832032063166,1.0
round,2,5,0.6928203230275509,1.0
round,2,6,0.6928203230275509,1.0
round,2,7,0.689202437604511,1.0
round,2,8,0.7106335201775947,1.0
round,2,9,0.7106335201775947,1.0
round,3,0,0.8306623862918074,1.0
round,3,1,0.8,1.0
round,3,2,0.8306623862918074,1.0
round,3,3,0.8455767262643882,0.99
round,3,4,0.85146931829632,0.99
round,3,5,0.8455767262643882,1.0
round,3,6,0.8215838362577492,1.0
round,3,7,0.8185352771872451,1.0
round,3,8,0.812403840463596,1.0
round,3,9,0.7842193570679061,1.0
round,4,0,1.2267844146385296,1.0
round,4,1,1.1489125293076057,1.0
round,4,2,1.2103718436910205,0.95
round,4,3,1.2449899597988732,0.98
round,4,4,1.1726039399558574,1.0
round,4,5,1.2083045973594573,0.97
round,4,6,1.1874342087037917,1.0
round,4,7,1.2668859459319928,0.98
round,4,8,1.2708265027138834,0.98
round,4,9,1.3209844813622906,0.95
round,5,0,1.3982131454109563,0.96
round,5,1,1.449137674618944,0.98
round,5,2,1.4017845768876187,0.97
round,5,3,1.3874436925511608,0.93
round,5,4,1.4798648586948742,0.97
round,5,5,1.4230249470757708,0.98
round,5,6,1.4747881203752624,0.96
round,5,7,1.4212670403551895,0.93
round,5,8,1.4370107863199915,0.95
round,5,9,1.4439529078193651,0.96
round,6,0,1.8343936327844141,0.97
round,6,1,1.795828499606797,0.99
round,6,2,1.7578395831246945,0.97
round,6,3,1.8261982367749674,0.95
round,6,4,1.8681541692269406,0.94
round,6,5,1.7734147850968198,0.94
round,6,6,1.7790446874657195,0.93
round,6,7,1.8083141320025125,0.94
round,6,8,1.7190113437671084,0.98
round,6,9,1.6867127793433,0.98
round,7,0,2.0149441679609885,0.89
round,7,1,2.0591260281974,0.89
round,7,2,2.0663978319771825,0.93
round,7,3,1.9786358937409378,0.93
round,7,4,2.053046516764781,0.94
round,7,5,1.9949937343260002,0.81
round,7,6,2.0506096654409878,0.91
round,7,7,1.9621416870348585,0.87
round,7,8,1.9377822375076101,0.92
round,7,9,1.9937402037376886,0.93
round,8,0,2.2068076490713913,0.88
