defense,param_value,trial,rmse,success
sample,1,0,17.861410918513688,0.65
sample,1,1,17.577542490348304,0.65
sample,1,2,59.807357406927785,0.66
sample,1,3,17.278165411871715,0.65
sample,1,4,17.661540136692498,0.65
sample,1,5,18.131878005325316,0.65
sample,1,6,17.490997684523315,0.65
sample,1,7,64.42433546417068,0.66
sample,1,8,17.58422588571928,0.65
sample,1,9,17.653045063104553,0.65
sample,2,0,17.663663266717922,0.65
sample,2,1,17.68530463407402,0.65
sample,2,2,49.4633702854951,0.67
sample,2,3,49.73580199413698,0.67
sample,2,4,25.526163048919045,0.66
sample,2,5,17.672577627499617,0.65
sample,2,6,26.168492505301103,0.66
sample,2,7,18.043835512440253,0.65
sample,2,8,26.539781461044473,0.66
sample,2,9,27.114202920240896,0.66
sample,3,0,16.48308897695521,0.66
sample,3,1,17.61065018674779,0.65
sample,3,2,27.623721689880963,0.67
sample,3,3,17.588774829418906,0.65
sample,3,4,17.82428119167783,0.65
sample,3,5,17.47469599163316,0.65
sample,3,6,17.741758650145144,0.65
sample,3,7,27.739622684288026,0.67
sample,3,8,16.97105378774891,0.66
sample,3,9,28.922837958187227,0.67
sample,4,0,13.472564715005083,0.66
sample,4,1,13.607902116050072,0.66
sample,4,2,17.126879458909027,0.68
sample,4,3,17.82736660306283,0.65
sample,4,4,28.098398530877166,0.68
sample,4,5,30.206042441869144,0.69
sample,4,6,16.843544757562167,0.67
sample,4,7,13.807063409718953,0.66
sample,4,8,17.66507854497115,0.67
sample,4,9,12.881575990537804,0.66
sample,5,0,11.634001891008957,0.67
sample,5,1,13.6387316125804,0.68
sample,5,2,12.656421295137106,0.66
sample,5,3,12.11321592311472,0.66
sample,5,4,17.980684080423636,0.65
sample,5,5,13.29736816065495,0.66
sample,5,6,13.207005716664169,0.66
sample,5,7,12.116517651536682,0.66
sample,5,8,12.68857754044952,0.66
sample,5,9,14.327246769704221,0.67
sample,6,0,11.361802478284666,0.67
sample,6,1,17.894691950408088,0.65
sample,6,2,11.541134163407762,0.67
sample,6,3,14.329611919999014,0.68
sample,6,4,11.939383940927979,0.67
sample,6,5,11.746465189342898,0.66
sample,6,6,12.360128550212485,0.67
sample,6,7,11.717769033016102,0.67
sample,6,8,11.377756076368193,0.67
sample,6,9,12.051602014301299,0.66
sample,7,0,12.902218603711502,0.66
sample,7,1,12.743345602425492,0.66
sample,7,2,17.659558318372518,0.65
sample,7,3,12.08206631874748,0.66
sample,7,4,13.05201915726577,0.66
sample,7,5,10.447419366933225,0.67
