defense,param_value,avg_rmse,std_rmse,avg_success,std_success
noise,1,1.004660442283085,0.054528532281417776,0.9970000000000001,0.004830458915396485
noise,2,2.0783241575100995,0.0988383775510153,0.9040000000000001,0.018378731669453627
noise,3,3.030958434972566,0.11830493413693335,0.8160000000000001,0.03777124126457408
noise,4,3.9801251870797634,0.2869614592195411,0.754,0.05541760650832108
noise,5,5.002200397273894,0.31130438585945,0.6950000000000001,0.029533408577782236
noise,6,5.873827124208062,0.2365176939406011,0.6849999999999999,0.0560257877132387
noise,7,6.77769737231161,0.31775935848602477,0.663,0.041379007023153926
noise,8,8.246071113387234,0.23849726443426997,0.588,0.06545566777937907
noise,9,9.191830527262267,0.6190761644498463,0.593,0.07134423592694789
noise,10,9.906474787411124,0.6617238243526183,0.6060000000000001,0.04376706016578624
noise,11,10.738609158170899,0.54824063191578,0.621,0.038715486421958926
noise,12,12.247953789091692,0.3308313097438936,0.58,0.0501109879279097
noise,13,12.914872025372057,0.5971225359587549,0.593,0.06219146064997816
noise,14,13.6553010246367,0.8189473270193843,0.592,0.030110906108363245
noise,15,15.19685331971409,0.7290096064565023,0.587,0.03233505150074073
noise,16,15.71985530959609,0.6854795961574337,0.568,0.037947331922020544
noise,17,17.108481341083387,0.8142417753621559,0.587,0.061110101001752924
noise,18,18.176036074948144,0.8206446996530399,0.5740000000000001,0.07089898917944222
noise,19,19.608542155820693,0.8046599095533,0.546,0.046236109025065864
noise,20,20.32359876428571,1.1681633880704243,0.546,0.04788875998951456
noise,21,20.97379127584563,0.9195335696167782,0.557,0.03860051813123753
noise,22,22.47441236745997,0.752433731060323,0.5720000000000001,0.0654556677793791
noise,23,22.806341090345846,1.1086544693875895,0.5559999999999999,0.03627058802329449
noise,24,24.057777033440185,1.1454838154426634,0.55,0.026246692913372668
noise,25,24.292320828259342,0.8835511248151692,0.568,0.05533734925185903
noise,26,25.536467342653573,1.3064277453034765,0.5469999999999999,0.03301514803843835
noise,27,27.166015730168386,1.3846284119503576,0.567,0.06254775952999614
noise,28,27.39385602668931,1.6045511939508497,0.513,0.06700746227100382
noise,29,29.468393406975355,1.3444281040258401,0.553,0.040290610982378176
noise,30,30.165845941311908,0.923273507330134,0.56,0.036514837167011066
noise,31,32.11415625542147,1.5318037458722853,0.549,0.05801340841181076
noise,32,31.91884995316972,1.6510486639893514,0.517,0.03888730155490634
noise,33,33.04032851876825,1.841463234878358,0.49800000000000005,0.038815804341359034
noise,34,33.596303456497694,1.4365432500464093,0.541,0.03634709219609062
noise,35,35.052842256925885,1.7378568374561703,0.506,0.07105553383719587
noise,36,35.08579621972693,1.2876095717737164,0.528,0.053082744633051696
noise,37,37.0755284709135,1.4652601930280342,0.53,0.04371625682868
noise,38,38.019407622127545,2.060714030950457,0.512,0.021499353995462822
noise,39,38.54885351291748,1.8060834471448473,0.537,0.04372896319628696
noise,40,40.482832323580304,2.605681146711017,0.536,0.034383458555273666
noise,41,41.09354575028737,1.903259017658781,0.5389999999999999,0.04458450154232719
noise,42,41.10549639750474,2.177908191703018,0.53,0.05925462944877063
noise,43,43.05164367109374,2.1766293738205125,0.51,0.030184617127124756
noise,44,44.486158564965066,1.7682946860485018,0.508,0.05573747990954261
noise,45,44.1593124131805,2.0363125533367765,0.539,0.03478505426185215
noise,46,46.88265405911771,2.1477560958861672,0.546,0.060589694760009395
noise,47,47.36265845731106,2.151567701351486,0.515,0.02953340857778227
noise,48,46.180374130567266,2.121486379349133,0.548,0.05473166867139678
noise,49,48.692769826152784,3.0596483659699034,0.511,0.0562632700396587
noise,50,48.10047413076923,2.7953200914069294,0.529,0.02514402955419483
noise,51,51.16244109247639,1.458757891150749,0.523,0.04137900702315391
noise,52,52.00760441330527,2.75069122613967,0.52,0.05868938953886337
noise,53,51.98991195548126,2.9690078246447347,0.502,0.04341018825626589
noise,54,55.26808623446552,2.258010312654792,0.54,0.043461349368017654
noise,55,53.77599051569105,1.90287155877732,0.524,0.0525357021462548
noise,56,56.5301636926625,2.4959002352081345,0.48200000000000004,0.05329165037789692
noise,57,57.651946963587605,2.6750456557237485,0.514,0.046236109025065884
noise,58,56.46831347551749,3.502075848776048,0.514,0.03687817782917156
noise,59,60.80282270295339,3.4784147503517127,0.534,0.045264653858047864
noise,60,59.38650730439074,2.4084574507482395,0.49400000000000005,0.03835506630304675
noise,61,60.804323712953945,2.4212523160603667,0.516,0.05337498373666161
noise,62,61.60221527961973,3.0859654928962454,0.504,0.06432556084308773
noise,63,62.83208417207775,1.5735575615898514,0.518,0.03994440581052063
noise,64,65.20284415550148,3.290625854827923,0.512,0.04491968140779474
noise,65,65.83679770019504,3.680570300686871,0.509,0.03900142447541002
noise,66,65.39918620295362,1.933923010616783,0.503,0.04571651780264984
noise,67,67.46055082217721,2.9850776346662475,0.507,0.04270050741306633
noise,68,67.67481932405758,4.717221920656657,0.502,0.026583202716502552
noise,69,69.55116738945382,3.370453794735492,0.51,0.028284271247461926
noise,70,70.21628717834419,1.2952569663788758,0.513,0.04691600058733811
noise,71,70.21405992425578,3.0481310812343,0.5029999999999999,0.06037843618010949
noise,72,71.19825029722334,4.1224595929780055,0.534,0.06221825384170717
noise,73,71.27720003556458,3.0402465440460715,0.513,0.027100635498903805
noise,74,71.76391207232749,3.6882466585361,0.512,0.045166359162544856
noise,75,74.70866695538949,2.4993550696132916,0.507,0.03973523485382829
noise,76,75.35405290633108,2.772333450965689,0.509,0.03314949304120486
noise,77,77.36312241083729,4.227943337660668,0.531,0.040947120370871816
noise,78,80.34530540590842,4.769918597148325,0.512,0.03359894178227776
noise,79,81.02395568631327,2.3012789490157157,0.49799999999999994,0.04049691346263317
noise,80,77.37953871804487,3.5306769133902436,0.524,0.045752959831395976
noise,81,80.60648752879034,4.7615590397788905,0.5,0.04760952285695232
noise,82,82.38556446022491,3.4582928650100957,0.5269999999999999,0.06147266781984404
noise,83,83.39043866654913,3.2258008659706827,0.51,0.0664997911442
noise,84,82.50547361088339,3.912293630730045,0.516,0.04599516882842759
noise,85,84.81799841415742,4.7925642244546856,0.49000000000000005,0.03681787005729089
noise,86,88.21770028033703,3.5595508214520404,0.522,0.05050852513300217
noise,87,84.7972043117572,3.813669682248212,0.524,0.035962943891363126
noise,88,87.51758943476469,5.187326318564937,0.504,0.036270588023294546
noise,89,90.3843854180274,4.367288570708304,0.511,0.05384133067531754
noise,90,89.89637651846272,2.8127182728149114,0.541,0.05704773829385741
noise,91,91.75993053474409,4.631874192094164,0.519,0.03665151201974252
noise,92,92.54783331380527,4.95711401376675,0.534,0.03533962208186288
noise,93,90.72866134488034,2.7419490979179635,0.517,0.047152235719352
noise,94,92.00930196245548,5.2794771051666896,0.495,0.027588242262078105
noise,95,95.6967260698329,3.7517594582627036,0.496,0.06467010300148149
noise,96,97.30901054936439,2.6622891889348623,0.484,0.04501851470969103
noise,97,95.33507121611282,5.632217930580784,0.501,0.04748099034818508
noise,98,97.83386829694152,4.98002219125995,0.512,0.05094659513211414
noise,99,97.29600233028869,4.125385378479431,0.509,0.055866905329641364
noise,100,99.28725822879646,2.8384173507812007,0.465,0.061146454426147134
